subject_id,collected_at,x,y,ts,dx,dy,pressure
shrey,2026-06-24T10:46:27.947Z,330.0,332.0,1154.199999999255,0.0,0.0,0.5
shrey,2026-06-24T10:46:27.947Z,332.0,344.0,1160.4000000003723,2.0,12.0,0.5
shrey,2026-06-24T10:46:27.947Z,335.0,358.0,1166.800000000745,3.0,14.0,0.5
shrey,2026-06-24T10:46:27.947Z,338.0,372.0,1174.0999999996277,3.0,14.0,0.5
shrey,2026-06-24T10:46:27.947Z,342.0,389.0,1180.9000000003723,4.0,17.0,0.5
shrey,2026-06-24T10:46:27.947Z,344.0,405.0,1187.9000000003723,2.0,16.0,0.5
shrey,2026-06-24T10:46:27.947Z,348.0,420.0,1194.5999999996277,4.0,15.0,0.5
shrey,2026-06-24T10:46:27.947Z,350.0,435.0,1201.800000000745,2.0,15.0,0.5
shrey,2026-06-24T10:46:27.947Z,354.0,447.0,1209.699999999255,4.0,12.0,0.5
shrey,2026-06-24T10:46:27.947Z,355.0,457.0,1215.9000000003723,1.0,10.0,0.5
shrey,2026-06-24T10:46:27.947Z,357.0,467.0,1222.9000000003723,2.0,10.0,0.5
shrey,2026-06-24T10:46:27.947Z,359.0,476.0,1229.800000000745,2.0,9.0,0.5
shrey,2026-06-24T10:46:27.947Z,361.0,485.0,1237.5,2.0,9.0,0.5
shrey,2026-06-24T10:46:27.947Z,364.0,494.0,1243.9000000003723,3.0,9.0,0.5
shrey,2026-06-24T10:46:27.947Z,366.0,502.0,1250.5,2.0,8.0,0.5
shrey,2026-06-24T10:46:27.947Z,374.0,521.0,1272.0999999996277,8.0,19.0,0.5
shrey,2026-06-24T10:46:27.947Z,375.0,528.0,1286.0,1.0,7.0,0.5
shrey,2026-06-24T10:46:27.947Z,375.0,517.0,1697.4000000003723,0.0,-11.0,0.5
shrey,2026-06-24T10:46:27.947Z,374.0,505.0,1704.699999999255,-1.0,-12.0,0.5
shrey,2026-06-24T10:46:27.947Z,374.0,494.0,1711.0999999996277,0.0,-11.0,0.5
shrey,2026-06-24T10:46:27.947Z,374.0,480.0,1717.9000000003723,0.0,-14.0,0.5
shrey,2026-06-24T10:46:27.947Z,374.0,470.0,1724.9000000003723,0.0,-10.0,0.5
shrey,2026-06-24T10:46:27.947Z,372.0,460.0,1732.4000000003723,-2.0,-10.0,0.5
shrey,2026-06-24T10:46:27.947Z,372.0,451.0,1746.0,0.0,-9.0,0.5
shrey,2026-06-24T10:46:27.947Z,372.0,446.0,1766.9000000003723,0.0,-5.0,0.5
shrey,2026-06-24T10:46:27.947Z,376.0,449.0,1984.199999999255,4.0,3.0,0.5
shrey,2026-06-24T10:46:27.947Z,379.0,453.0,1991.0999999996277,3.0,4.0,0.5
shrey,2026-06-24T10:46:27.947Z,381.0,458.0,1998.199999999255,2.0,5.0,0.5
shrey,2026-06-24T10:46:27.947Z,385.0,464.0,2011.9000000003723,4.0,6.0,0.5
shrey,2026-06-24T10:46:27.947Z,388.0,469.0,2019.0,3.0,5.0,0.5
shrey,2026-06-24T10:46:27.947Z,391.0,474.0,2033.0999999996277,3.0,5.0,0.5
shrey,2026-06-24T10:46:27.947Z,393.0,481.0,2047.4000000003723,2.0,7.0,0.5
shrey,2026-06-24T10:46:27.947Z,397.0,488.0,2061.199999999255,4.0,7.0,0.5
shrey,2026-06-24T10:46:27.947Z,400.0,495.0,2074.9000000003725,3.0,7.0,0.5
shrey,2026-06-24T10:46:27.947Z,401.0,500.0,2088.800000000745,1.0,5.0,0.5
shrey,2026-06-24T10:46:27.947Z,391.0,506.0,2955.199999999255,-10.0,6.0,0.5
shrey,2026-06-24T10:46:27.947Z,380.0,512.0,2961.800000000745,-11.0,6.0,0.5
shrey,2026-06-24T10:46:27.947Z,365.0,518.0,2969.0,-15.0,6.0,0.5
shrey,2026-06-24T10:46:27.947Z,345.0,527.0,2975.800000000745,-20.0,9.0,0.5
shrey,2026-06-24T10:46:27.947Z,323.0,537.0,2982.9000000003725,-22.0,10.0,0.5
shrey,2026-06-24T10:46:27.947Z,304.0,550.0,2989.699999999255,-19.0,13.0,0.5
shrey,2026-06-24T10:46:27.947Z,280.0,562.0,2996.699999999255,-24.0,12.0,0.5
shrey,2026-06-24T10:46:27.947Z,262.0,571.0,3004.0999999996275,-18.0,9.0,0.5
shrey,2026-06-24T10:46:27.947Z,248.0,579.0,3010.699999999255,-14.0,8.0,0.5
shrey,2026-06-24T10:46:27.947Z,238.0,583.0,3017.5,-10.0,4.0,0.5
shrey,2026-06-24T10:46:27.947Z,230.0,588.0,3024.699999999255,-8.0,5.0,0.5
shrey,2026-06-24T10:46:27.947Z,225.0,590.0,3032.800000000745,-5.0,2.0,0.5
shrey,2026-06-24T10:46:27.947Z,220.0,592.0,3038.699999999255,-5.0,2.0,0.5
shrey,2026-06-24T10:46:27.947Z,214.0,594.0,3059.9000000003725,-6.0,2.0,0.5
shrey,2026-06-24T10:46:27.947Z,209.0,594.0,3088.4000000003725,-5.0,0.0,0.5
shrey,2026-06-24T10:46:27.947Z,205.0,594.0,3123.300000000745,-4.0,0.0,0.5
shrey,2026-06-24T10:46:27.947Z,203.0,595.0,3150.800000000745,-2.0,1.0,0.5
shrey,2026-06-24T10:46:27.947Z,199.0,596.0,3178.800000000745,-4.0,1.0,0.5
shrey,2026-06-24T10:46:27.947Z,195.0,596.0,3199.300000000745,-4.0,0.0,0.5
shrey,2026-06-24T10:46:27.947Z,191.0,596.0,3220.5999999996275,-4.0,0.0,0.5
shrey,2026-06-24T10:46:27.947Z,186.0,596.0,3248.5999999996275,-5.0,0.0,0.5
shrey,2026-06-24T10:46:27.947Z,185.0,596.0,3276.699999999255,-1.0,0.0,0.5
shrey,2026-06-24T10:46:27.947Z,185.0,596.0,3353.699999999255,0.0,0.0,0.5
shrey,2026-06-24T10:46:27.947Z,198.0,604.0,3786.800000000745,13.0,8.0,0.5
shrey,2026-06-24T10:46:27.947Z,208.0,609.0,3793.5,10.0,5.0,0.5
shrey,2026-06-24T10:46:27.947Z,217.0,614.0,3800.199999999255,9.0,5.0,0.5
shrey,2026-06-24T10:46:27.947Z,225.0,620.0,3808.199999999255,8.0,6.0,0.5
shrey,2026-06-24T10:46:27.947Z,232.0,625.0,3814.300000000745,7.0,5.0,0.5
shrey,2026-06-24T10:46:27.947Z,240.0,629.0,3821.599999999627,8.0,4.0,0.5
shrey,2026-06-24T10:46:27.947Z,245.0,632.0,3828.800000000745,5.0,3.0,0.5
shrey,2026-06-24T10:46:27.947Z,252.0,627.0,4477.699999999255,7.0,-5.0,0.5
shrey,2026-06-24T10:46:27.947Z,258.0,621.0,4485.0,6.0,-6.0,0.5
shrey,2026-06-24T10:46:27.947Z,264.0,616.0,4491.699999999255,6.0,-5.0,0.5
shrey,2026-06-24T10:46:27.947Z,269.0,610.0,4498.800000000745,5.0,-6.0,0.5
shrey,2026-06-24T10:46:27.947Z,273.0,607.0,4505.9000000003725,4.0,-3.0,0.5
