subject_id,collected_at,trial_index,target_x,target_y,click_x,click_y,appeared_at,clicked_at,travel_time_ms,error_px
shrey,2026-06-24T10:46:27.947Z,1,133.14588210754704,273.90514883651747,138,282,191721.59999999963,208008.0,16286.400000000373,9.438700963202853
shrey,2026-06-24T10:46:27.947Z,2,451.32027747819495,507.41731382797354,438,497,208099.09999999963,209264.30000000075,1165.2000000011176,16.91006266950529
shrey,2026-06-24T10:46:27.947Z,3,189.369483343506,477.46242802495607,174,475,209355.09999999963,211254.59999999963,1899.5,15.565492925840722
shrey,2026-06-24T10:46:27.947Z,4,645.3817348874527,576.4365268947702,649,582,211345.80000000075,212714.09999999963,1368.2999999988824,6.636571058708905
shrey,2026-06-24T10:46:27.947Z,5,270.7879442146839,124.99282497751797,268,127,212805.19999999925,214027.59999999963,1222.4000000003725,3.435314325511573
shrey,2026-06-24T10:46:27.947Z,6,63.21555439987561,208.26785401919983,74,217,214118.90000000037,215410.30000000075,1291.4000000003725,13.87640588668575
shrey,2026-06-24T10:46:27.947Z,7,486.604089820361,413.8173714907086,491,427,215501.19999999925,216570.40000000037,1069.2000000011176,13.896248440548133
shrey,2026-06-24T10:46:27.947Z,8,381.35587643407104,401.2647541466609,374,405,216661.30000000075,217646.40000000037,985.0999999996275,8.24990785998296
shrey,2026-06-24T10:46:27.947Z,9,319.24710682784615,192.87044835871438,323,190,217737.59999999963,218791.90000000037,1054.300000000745,4.724794275060563
shrey,2026-06-24T10:46:27.947Z,10,364.9888344509194,422.59654884390983,358,418,218882.90000000037,220098.19999999925,1215.2999999988824,8.364930857861687
shrey,2026-06-24T10:46:27.947Z,11,100.11838907859061,484.1705030741702,98,486,220189.19999999925,222410.19999999925,2221.0,2.7990411375884894
shrey,2026-06-24T10:46:27.947Z,12,96.97638460301064,468.96563968911715,94,473,222501.0,223744.69999999925,1243.699999999255,5.013474685591377
shrey,2026-06-24T10:46:27.947Z,13,542.5548623810455,181.88334777949154,555,170,223835.5,225338.30000000075,1502.800000000745,17.207422956476172
shrey,2026-06-24T10:46:27.947Z,14,697.0666668472678,125.02041048746207,702,126,225429.09999999963,226658.59999999963,1229.5,5.029649253071312
shrey,2026-06-24T10:46:27.947Z,15,324.4913168475189,527.3092246712896,311,535,226749.69999999925,228369.59999999963,1619.9000000003725,15.529444788428439
shrey,2026-06-24T10:46:27.947Z,16,627.2454699655849,135.07614901099157,625,137,228460.5,229591.90000000037,1131.4000000003725,2.9569135926253534
shrey,2026-06-24T10:46:27.947Z,17,496.08503709537615,535.5114752936231,498,524,229682.90000000037,230703.0,1020.0999999996275,11.669667791406088
shrey,2026-06-24T10:46:27.947Z,18,672.5516627150697,394.177560081987,679,387,230794.09999999963,231932.30000000075,1138.2000000011176,9.648752378973942
shrey,2026-06-24T10:46:27.947Z,19,682.0510036552972,559.6621650888841,686,569,232023.19999999925,233120.0,1096.800000000745,10.138527159194828
shrey,2026-06-24T10:46:27.947Z,20,300.30930609066127,126.61342216775172,296,110,233211.19999999925,234739.40000000037,1528.2000000011176,17.163214008656844
shrey,2026-06-24T10:46:27.947Z,21,328.5772565519895,219.7294551475684,350,211,234829.90000000037,235620.5,790.5999999996275,23.133035339373127
shrey,2026-06-24T10:46:27.947Z,22,658.6667147806755,291.5326661616931,645,302,235711.09999999963,236724.0,1012.9000000003725,17.214649882553513
shrey,2026-06-24T10:46:27.947Z,23,237.50850641711014,312.43211254902883,228,316,236814.69999999925,237813.69999999925,999.0,10.155861122869998
shrey,2026-06-24T10:46:27.947Z,24,129.27697509076273,190.72306698007773,115,173,237904.30000000075,238924.69999999925,1020.3999999985099,22.758275877635835
shrey,2026-06-24T10:46:27.947Z,25,141.5339529896491,378.5019349125877,144,375,239015.30000000075,239945.19999999925,929.8999999985099,4.283098876895263
shreyandh,2026-06-24T10:59:42.484Z,1,448.5513100190636,348.54832373542604,433,369,230277.0,232275.0,1998.0,25.692689725678104
shreyandh,2026-06-24T10:59:42.484Z,2,406.5144087542115,545.235925935861,416,547,232366.0,233316.0,950.0,9.648232925564516
shreyandh,2026-06-24T10:59:42.484Z,3,363.14305538705423,469.5249076363854,370,496,233407.0,234329.0,922.0,27.34864174117115
