subject_id,collected_at,segment,key_id,key_category,press_ts,release_ts,dwell_ms
shrey,2026-06-24T10:46:27.947Z,pangram,t,alphanum,8097.5999999996275,8206.800000000745,109.2000000011176
shrey,2026-06-24T10:46:27.947Z,pangram,h,alphanum,8215.699999999255,8311.800000000745,96.10000000149012
shrey,2026-06-24T10:46:27.947Z,pangram,e,alphanum,8338.800000000745,8463.0,124.19999999925494
shrey,2026-06-24T10:46:27.947Z,pangram,space,space,8448.800000000745,8524.099999999627,75.29999999888241
shrey,2026-06-24T10:46:27.947Z,pangram,q,alphanum,8586.699999999255,8731.599999999627,144.90000000037253
shrey,2026-06-24T10:46:27.947Z,pangram,u,alphanum,8751.0,8832.599999999627,81.59999999962747
shrey,2026-06-24T10:46:27.947Z,pangram,i,alphanum,8964.300000000745,9091.599999999627,127.2999999988824
shrey,2026-06-24T10:46:27.947Z,pangram,c,alphanum,9163.300000000743,9240.699999999257,77.39999999850988
shrey,2026-06-24T10:46:27.947Z,pangram,c,alphanum,9252.599999999627,9351.400000000373,98.80000000074506
shrey,2026-06-24T10:46:27.947Z,pangram,k,alphanum,9388.5,9482.400000000373,93.90000000037251
shrey,2026-06-24T10:46:27.947Z,pangram,space,space,9581.099999999627,9638.199999999257,57.09999999962747
shrey,2026-06-24T10:46:27.947Z,pangram,b,alphanum,9937.300000000743,10004.099999999627,66.79999999888241
shrey,2026-06-24T10:46:27.947Z,pangram,o,alphanum,10104.0,10195.699999999257,91.69999999925494
shrey,2026-06-24T10:46:27.947Z,pangram,w,alphanum,10234.099999999627,10329.199999999257,95.09999999962749
shrey,2026-06-24T10:46:27.947Z,pangram,n,alphanum,10439.099999999627,10577.300000000743,138.2000000011176
shrey,2026-06-24T10:46:27.947Z,pangram,s,alphanum,10725.800000000743,10863.900000000373,138.09999999962747
shrey,2026-06-24T10:46:27.947Z,pangram,space,space,10878.0,10896.199999999257,18.199999999254945
shrey,2026-06-24T10:46:27.947Z,pangram,d,alphanum,11560.599999999627,11672.800000000743,112.2000000011176
